               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 116,            0.024812,             0.03268,           0.0018626,             0.73049,             0.61949,               0.665,             0.40354,            0.047273,            0.066334,           0.0044967,             0.00241,             0.00241,             0.00241
                 117,            0.024611,            0.031957,           0.0017538,             0.72716,             0.62565,             0.65875,             0.40341,            0.047233,            0.065702,           0.0044566,            0.002344,            0.002344,            0.002344
                 118,            0.024426,            0.031494,           0.0017353,             0.72333,             0.63333,             0.66236,             0.40289,            0.047327,            0.066707,           0.0045128,            0.002278,            0.002278,            0.002278
                 119,            0.024313,            0.031481,           0.0017521,             0.70132,             0.63124,              0.6624,             0.40257,            0.047516,            0.066711,           0.0048539,            0.002212,            0.002212,            0.002212
                 120,             0.02421,            0.031089,           0.0017813,             0.71458,             0.62423,             0.65329,             0.40093,            0.047822,            0.067898,           0.0051715,            0.002146,            0.002146,            0.002146
                 121,            0.024292,             0.03142,           0.0018457,             0.74865,             0.60294,              0.6532,             0.39734,            0.047683,            0.068338,           0.0047795,             0.00208,             0.00208,             0.00208
                 122,             0.02445,            0.031453,           0.0018185,             0.76207,             0.59822,             0.66031,             0.39795,            0.047391,            0.068564,            0.004577,            0.002014,            0.002014,            0.002014
                 123,            0.023828,            0.030617,           0.0017087,             0.72316,             0.63892,             0.66745,              0.4053,            0.047674,            0.068074,           0.0046972,            0.001948,            0.001948,            0.001948
                 124,            0.023867,            0.030805,           0.0018019,             0.76507,             0.59645,             0.66099,             0.40339,            0.047894,            0.067834,           0.0048366,            0.001882,            0.001882,            0.001882
                 125,            0.023892,            0.031072,           0.0017678,             0.76413,               0.595,             0.65808,             0.40185,            0.047916,            0.068926,           0.0047892,            0.001816,            0.001816,            0.001816
                 126,             0.02398,            0.030895,           0.0017153,             0.76615,             0.60344,             0.65895,             0.40035,            0.048089,             0.06851,           0.0048837,             0.00175,             0.00175,             0.00175
                 127,            0.024044,            0.031258,           0.0017423,             0.76535,             0.61005,              0.6679,             0.40878,            0.047873,            0.068793,           0.0048465,            0.001684,            0.001684,            0.001684
                 128,             0.02345,            0.030842,           0.0017081,             0.75289,             0.61153,              0.6601,             0.40363,            0.047772,            0.069161,           0.0047655,            0.001618,            0.001618,            0.001618
                 129,            0.023271,            0.029546,            0.001653,             0.73692,             0.61751,             0.66358,             0.40514,            0.047487,            0.068991,           0.0048419,            0.001552,            0.001552,            0.001552
                 130,            0.023373,            0.030253,           0.0016797,             0.75287,             0.60274,             0.66074,             0.40727,            0.047666,            0.070367,            0.004864,            0.001486,            0.001486,            0.001486
                 131,              0.0233,             0.03009,           0.0016516,             0.74344,             0.61898,             0.66131,             0.40682,            0.047736,            0.069724,           0.0049688,             0.00142,             0.00142,             0.00142
                 132,             0.02293,            0.029541,           0.0016724,             0.75461,             0.61841,             0.66757,             0.41029,            0.047725,            0.069938,           0.0051394,            0.001354,            0.001354,            0.001354
                 133,            0.022828,            0.029071,           0.0016576,             0.76226,             0.62139,             0.67116,             0.40942,             0.04752,            0.069794,           0.0049007,            0.001288,            0.001288,            0.001288
                 134,            0.023076,            0.030351,           0.0016786,             0.73067,             0.63638,             0.67252,             0.41291,            0.047548,            0.068432,           0.0050249,            0.001222,            0.001222,            0.001222
                 135,            0.022892,            0.030227,           0.0017362,             0.75444,             0.61903,             0.66814,             0.41081,            0.047532,            0.070078,           0.0049995,            0.001156,            0.001156,            0.001156
                 136,            0.022882,            0.028963,           0.0016424,               0.772,             0.60867,             0.66996,             0.41324,            0.047157,            0.069676,           0.0049343,             0.00109,             0.00109,             0.00109
                 137,            0.022635,            0.029066,           0.0016515,             0.75318,             0.61218,              0.6646,             0.40903,             0.04729,            0.069869,            0.004946,            0.001024,            0.001024,            0.001024
                 138,            0.022623,            0.028948,           0.0016669,             0.74783,              0.6058,             0.65689,             0.40798,            0.047398,            0.069796,           0.0049016,            0.000958,            0.000958,            0.000958
                 139,            0.022242,            0.028593,           0.0015527,             0.75043,             0.61599,             0.66268,             0.41078,            0.047297,            0.069734,           0.0050876,            0.000892,            0.000892,            0.000892
                 140,            0.022503,            0.028749,           0.0016123,             0.74381,              0.6252,             0.66564,              0.4092,            0.047183,            0.068472,           0.0051158,            0.000826,            0.000826,            0.000826
                 141,             0.02229,            0.029094,           0.0016301,              0.7375,             0.62206,             0.66798,             0.40943,            0.047188,             0.06918,            0.005004,             0.00076,             0.00076,             0.00076
                 142,            0.022115,            0.028011,            0.001687,             0.76959,             0.59778,             0.66469,             0.41041,             0.04708,            0.069568,           0.0050966,            0.000694,            0.000694,            0.000694
                 143,            0.022327,            0.028497,           0.0016568,             0.76391,             0.60763,             0.66819,             0.41007,            0.047374,            0.070242,            0.005057,            0.000628,            0.000628,            0.000628
                 144,              0.0222,            0.028695,           0.0017103,             0.74355,             0.61985,             0.66709,             0.40999,            0.047517,            0.070406,           0.0052282,            0.000562,            0.000562,            0.000562
                 145,            0.021863,            0.028252,           0.0016607,              0.7503,             0.61735,             0.66795,             0.41182,            0.047428,            0.070695,            0.005291,            0.000496,            0.000496,            0.000496
                 146,            0.022127,            0.028069,           0.0015839,             0.75995,             0.61329,             0.66574,             0.41008,            0.047493,            0.070951,           0.0051778,             0.00043,             0.00043,             0.00043
                 147,            0.022102,            0.028372,           0.0017009,             0.74215,             0.61821,              0.6665,             0.41152,            0.047404,            0.070728,           0.0052137,            0.000364,            0.000364,            0.000364
                 148,            0.022212,            0.028441,           0.0015314,             0.73045,             0.62133,             0.66485,             0.40964,            0.047539,             0.07102,           0.0052833,            0.000298,            0.000298,            0.000298
                 149,            0.021849,            0.027199,           0.0015824,             0.73802,             0.61862,             0.66427,             0.40834,            0.047617,             0.07143,           0.0053386,            0.000232,            0.000232,            0.000232
